record_id,source_type,source,title,event_date,content,mentioned_entity,read_count,comment_count,url
COMM_000874,comment,东方财富股吧,归儿子不是很难砸吗？怎么今天砸不动了,2026-06-05,归儿子不是很难砸吗？怎么今天砸不动了,浦发银行(600000),37,0,"https://guba.eastmoney.com/news,600000,1721397061.html"
COMM_000875,comment,东方财富股吧,我今天就发话这里，不赚一毛钱，我都不会走,2026-06-05,我今天就发话这里，不赚一毛钱，我都不会走,浦发银行(600000),36,0,"https://guba.eastmoney.com/news,600000,1721393325.html"
COMM_000876,comment,东方财富股吧,主力哥，你要洗就给我来个跌停，别天天装。笔,2026-06-05,主力哥，你要洗就给我来个跌停，别天天装。笔,浦发银行(600000),41,2,"https://guba.eastmoney.com/news,600000,1721347967.html"
COMM_000877,comment,东方财富股吧,这个苟妆真的扣门，小气的很，竟然妄想一个散户都不想带上车一个人吃独食，想得美,2026-06-05,这个苟妆真的扣门，小气的很，竟然妄想一个散户都不想带上车一个人吃独食，想得美,浦发银行(600000),36,0,"https://guba.eastmoney.com/news,600000,1721360605.html"
COMM_000878,comment,东方财富股吧,"不看好的够都gun,我就看好浦发这轮能破10块钱",2026-06-05,"不看好的够都gun,我就看好浦发这轮能破10块钱",浦发银行(600000),66,4,"https://guba.eastmoney.com/news,600000,1721319150.html"
COMM_000879,comment,东方财富股吧,大家坚持住，苟妆老是整这出就是想让我们心浮气躁忍不住割肉放弃分红，大家都拿好筹码,2026-06-05,大家坚持住，苟妆老是整这出就是想让我们心浮气躁忍不住割肉放弃分红，大家都拿好筹码,浦发银行(600000),56,2,"https://guba.eastmoney.com/news,600000,1721244772.html"
COMM_000880,comment,东方财富股吧,最垃圾银行，现在比兴业都差不是一点点，跌那么多还原地踏步，年跌幅第一,2026-06-05,最垃圾银行，现在比兴业都差不是一点点，跌那么多还原地踏步，年跌幅第一,浦发银行(600000),43,1,"https://guba.eastmoney.com/news,600000,1721286427.html"
COMM_000881,comment,东方财富股吧,必绿,2026-06-05,必绿,浦发银行(600000),26,0,"https://guba.eastmoney.com/news,600000,1721307408.html"
COMM_000882,comment,东方财富股吧,它们已经在开始删评论了，坚持住兄弟们！,2026-06-05,它们已经在开始删评论了，坚持住兄弟们！,浦发银行(600000),81,0,"https://guba.eastmoney.com/news,600000,1721306736.html"
COMM_000883,comment,东方财富股吧,板块普跌的时候跌得稍微少点，板块红的时候就吊车尾，这个操盘手吃相不要这么难看，你,2026-06-05,板块普跌的时候跌得稍微少点，板块红的时候就吊车尾，这个操盘手吃相不要这么难看，你,浦发银行(600000),36,1,"https://guba.eastmoney.com/news,600000,1721057735.html"
COMM_000884,comment,东方财富股吧,快点绿快点绿，看着心烦，反正老子也不止你一个票,2026-06-05,快点绿快点绿，看着心烦，反正老子也不止你一个票,浦发银行(600000),28,0,"https://guba.eastmoney.com/news,600000,1721220974.html"
COMM_000885,comment,东方财富股吧,今天必绿，下午回来看,2026-06-05,今天必绿，下午回来看,浦发银行(600000),31,0,"https://guba.eastmoney.com/news,600000,1721210770.html"
COMM_000886,comment,东方财富股吧,我记得前几天一直讲，和cpo死对头，看看cpo，抛吧,2026-06-05,我记得前几天一直讲，和cpo死对头，看看cpo，抛吧,浦发银行(600000),24,0,"https://guba.eastmoney.com/news,600000,1721210453.html"
COMM_000887,comment,东方财富股吧,包绿的,2026-06-05,包绿的,浦发银行(600000),32,0,"https://guba.eastmoney.com/news,600000,1721202856.html"
COMM_000888,comment,东方财富股吧,投票：浦发今天会绿吗？,2026-06-05,投票：浦发今天会绿吗？,浦发银行(600000),45,1,"https://guba.eastmoney.com/news,600000,1721191948.html"
COMM_000889,comment,东方财富股吧,主力今天没吃饭,2026-06-05,主力今天没吃饭,浦发银行(600000),34,1,"https://guba.eastmoney.com/news,600000,1721194001.html"
COMM_000890,comment,东方财富股吧,每天上一当，当当都一样,2026-06-05,每天上一当，当当都一样,浦发银行(600000),39,0,"https://guba.eastmoney.com/news,600000,1721191713.html"
COMM_000891,comment,东方财富股吧,哈哈哈，和前几天一样，又是套人的一天。不过对我还是没用，你绿吧，我躺平了,2026-06-05,哈哈哈，和前几天一样，又是套人的一天。不过对我还是没用，你绿吧，我躺平了,浦发银行(600000),22,0,"https://guba.eastmoney.com/news,600000,1721189303.html"
COMM_000892,comment,东方财富股吧,年内跌幅超7%，A股银行板块为何大幅跑输大盘？,2026-05-19,年内跌幅超7%，A股银行板块为何大幅跑输大盘？,浦发银行(600000),9105,37,"https://guba.eastmoney.com/news,600928,1710738488.html"
COMM_000893,comment,东方财富股吧,太弱了，走了,2026-06-05,太弱了，走了,浦发银行(600000),27,1,"https://guba.eastmoney.com/news,600000,1721157455.html"
COMM_000894,comment,东方财富股吧,今天9.4收盘,2026-06-05,今天9.4收盘,浦发银行(600000),36,1,"https://guba.eastmoney.com/news,600000,1721106758.html"
COMM_000895,comment,东方财富股吧,下来了，这就是垃圾极限,2026-06-05,下来了，这就是垃圾极限,浦发银行(600000),37,1,"https://guba.eastmoney.com/news,600000,1721107119.html"
COMM_000896,comment,东方财富股吧,美银和中银天差地别，谁要负这个责任？,2026-06-05,美银和中银天差地别，谁要负这个责任？,浦发银行(600000),60,2,"https://guba.eastmoney.com/news,600000,1721025499.html"
COMM_000897,comment,东方财富股吧,我是老登，我就不去科技,2026-06-05,我是老登，我就不去科技,浦发银行(600000),36,0,"https://guba.eastmoney.com/news,600000,1721080644.html"
COMM_000898,comment,东方财富股吧,怎么样，我说的5连绿，已经四连绿了，今天继续跌,2026-06-05,怎么样，我说的5连绿，已经四连绿了，今天继续跌,浦发银行(600000),70,3,"https://guba.eastmoney.com/news,600000,1721045420.html"
COMM_000899,comment,东方财富股吧,继续跌,2026-06-05,继续跌,浦发银行(600000),35,0,"https://guba.eastmoney.com/news,600000,1721057306.html"
COMM_000900,comment,东方财富股吧,当年11.8跑路，看来是对了,2026-06-05,当年11.8跑路，看来是对了,浦发银行(600000),42,2,"https://guba.eastmoney.com/news,600000,1721029387.html"
COMM_000901,comment,东方财富股吧,看涨的人那么多？,2026-06-05,看涨的人那么多？,浦发银行(600000),45,0,"https://guba.eastmoney.com/news,600000,1721038759.html"
COMM_000902,comment,东方财富股吧,根据浦发银行的业绩和最近的低估值，它有一次涨停并不奇怪，不过即使涨停，我也不会卖,2026-06-05,根据浦发银行的业绩和最近的低估值，它有一次涨停并不奇怪，不过即使涨停，我也不会卖,浦发银行(600000),163,3,"https://guba.eastmoney.com/news,600000,1720994619.html"
COMM_000903,comment,东方财富股吧,请问董秘。今年的股东大会还要拖延到6月份吗。业绩分红发布一个月。四大行都开始股息,2026-05-12,请问董秘。今年的股东大会还要拖延到6月份吗。业绩分红发布一个月。四大行都开始股息,浦发银行(600000),819,7,"https://guba.eastmoney.com/news,600000,1706523088.html"
COMM_000904,comment,东方财富股吧,有3-4倍的空间，目标：美国的银行平均市净率约1.5倍、市盈率平均15倍，而中国,2026-05-25,有3-4倍的空间，目标：美国的银行平均市净率约1.5倍、市盈率平均15倍，而中国,浦发银行(600000),612,19,"https://guba.eastmoney.com/news,600000,1714161910.html"
COMM_000905,comment,东方财富股吧,这点成交量，证金公司要减持完何时是个头,2026-06-04,这点成交量，证金公司要减持完何时是个头,浦发银行(600000),136,5,"https://guba.eastmoney.com/news,600000,1720680009.html"
COMM_000906,comment,东方财富股吧,浦发银行：融资净偿还1878.24万元，融资余额37.86亿元,2026-06-05,浦发银行：融资净偿还1878.24万元，融资余额37.86亿元,浦发银行(600000),74,0,"https://guba.eastmoney.com/news,600000,1721007522.html"
COMM_000907,comment,东方财富股吧,浦发银行:上海浦东发展银行股份有限公司董事会2026年第六次会议决议公告,2026-06-04,浦发银行:上海浦东发展银行股份有限公司董事会2026年第六次会议决议公告,浦发银行(600000),241,3,"https://guba.eastmoney.com/news,600000,1720892793.html"
COMM_000908,comment,东方财富股吧,中信行已分红，平安行、兴业行分眼在眼前，浦发却连股东大会都没会，这节奏、这效率，,2026-06-05,中信行已分红，平安行、兴业行分眼在眼前，浦发却连股东大会都没会，这节奏、这效率，,浦发银行(600000),72,2,"https://guba.eastmoney.com/news,600000,1721003654.html"
COMM_000909,comment,东方财富股吧,这里就是浓缩板3月底走势，一是一样,2026-06-05,这里就是浓缩板3月底走势，一是一样,浦发银行(600000),34,0,"https://guba.eastmoney.com/news,600000,1721001363.html"
COMM_000910,comment,东方财富股吧,看k线，每一次反弹过后必定开始绵绵阴跌,2026-06-05,看k线，每一次反弹过后必定开始绵绵阴跌,浦发银行(600000),31,0,"https://guba.eastmoney.com/news,600000,1721001190.html"
COMM_000911,comment,东方财富股吧,从去年底开始被套近20个点了，还有希望吗,2026-06-05,从去年底开始被套近20个点了，还有希望吗,浦发银行(600000),52,1,"https://guba.eastmoney.com/news,600000,1720996908.html"
COMM_000912,comment,东方财富股吧,对于手拿浦发银行的散户来讲，最好就是双休，因为基本一开市看到它总再跌，就算偶尔反,2026-06-05,对于手拿浦发银行的散户来讲，最好就是双休，因为基本一开市看到它总再跌，就算偶尔反,浦发银行(600000),52,0,"https://guba.eastmoney.com/news,600000,1720998813.html"
COMM_000913,comment,东方财富股吧,探路“大城养老”新模式 上海试点养老服务信托,2026-06-04,探路“大城养老”新模式 上海试点养老服务信托,浦发银行(600000),389,2,"https://guba.eastmoney.com/news,600000,1720930235.html"
COMM_000914,comment,东方财富股吧,垃圾,2026-06-04,垃圾,浦发银行(600000),30,0,"https://guba.eastmoney.com/news,600000,1720939521.html"
COMM_000915,comment,东方财富股吧,主力哥，求求你明天做个好人吧，干脆直接跌停吧，天天拉高再砸下来，我真的无语死了,2026-06-04,主力哥，求求你明天做个好人吧，干脆直接跌停吧，天天拉高再砸下来，我真的无语死了,浦发银行(600000),67,3,"https://guba.eastmoney.com/news,600000,1720925716.html"
